code,packaging_en,product_name,origins,manufacturing_places,environmental_score_grade,image_url,brands,categories
114220031,,,,,,https://images.openfoodfacts.org/images/products/000/011/422/0031/front_fr.11.400.jpg,,
114220032,,,,,,https://images.openfoodfacts.org/images/products/000/011/422/0032/front_fr.10.400.jpg,,
114220061,,pomme queen cox import,,,,https://images.openfoodfacts.org/images/products/000/011/422/0061/front_fr.9.400.jpg,,
114220062,,pomme queen cox bio import,,,,https://images.openfoodfacts.org/images/products/000/011/422/0062/front_fr.9.400.jpg,,
114354148,,Americain Nature,,,,https://images.openfoodfacts.org/images/products/000/011/435/4148/front_en.5.400.jpg,Delhaize,
1144,,Snacks de mais,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1144/front_fr.4.400.jpg,GutBio,
1145,,Sauce Soja - Kikkoman,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1145/front_fr.6.400.jpg,,
1146,,Miel de printemps,,,a-plus,https://images.openfoodfacts.org/images/products/000/000/000/1146/front_fr.3.400.jpg,,"Petit-déjeuners, Produits à tartiner, Produits à tartiner sucrés, Produits de la ruche, Produits d'élevages, Édulcorants, Miels, Miels de Printemps"
1147,,crispy jelly fish,,,,,,
1148,,,,,unknown,,,
1149,,Sommeil Bio,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1149/front_fr.3.400.jpg,,
1150,,Coop Pizzabolle Tomatsaus 100g,,,,https://images.openfoodfacts.org/images/products/000/000/000/1150/front_en.8.400.jpg,GOMAN AS,
1151,,&quot;Baguette Lyonnais&quot;,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1151/front_fr.4.400.jpg,,
1152,,"Lieu, riz à la crème de coco et épinards",,,,,,
1155,,Hans Hanf,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1155/front_de.7.400.jpg,TeeGeschwender,
1156,,Nightworks,,,,,,
1159,,Coop Steinbakt Mørk Rundstykke 110g,,,,https://images.openfoodfacts.org/images/products/000/000/000/1159/front_en.6.400.jpg,GOMAN AS,
115902357,,Danonino,,,unknown,https://images.openfoodfacts.org/images/products/000/011/590/2357/front_fr.5.400.jpg,,
1160,,Organic Black Chia Seeds,,,,https://images.openfoodfacts.org/images/products/000/000/000/1160/front_en.7.400.jpg,"Bistro MD, Terrasoul SuperFoods",
116087100,,,,,,https://images.openfoodfacts.org/images/products/000/011/608/7100/front_fr.3.400.jpg,,
1161,,Limoncino Bottega,,,e,https://images.openfoodfacts.org/images/products/000/000/000/1161/front_de.3.400.jpg,,"Getränke und Getränkezubereitungen, Getränke, Alkoholische Getränke, Liköre"
1162,,Organic Cacao Butter,,,,https://images.openfoodfacts.org/images/products/000/000/000/1162/front_en.3.400.jpg,"Eats, Terrasoul SuperFoods",
116217837,Pack,Belin,,,b,,Monaco,"snacks, snacks-sales, amuse-gueules, biscuits-aperitifs, biscuits-aperitifs-nature"
1163,,Organic Cacao Paste,,,,,Terrasoul SuperFoods,
116300018,,Laugengipfrl,,,unknown,https://images.openfoodfacts.org/images/products/000/011/630/0018/front_en.3.400.jpg,Spar Tankstelle,
116317398,,Pringles,,,,,Pringles,
116329286,,Wii,,,unknown,https://images.openfoodfacts.org/images/products/000/011/632/9286/front_fr.3.400.jpg,Nintendo,
1164,,Organic Coconut Flour,,,,,Terrasoul SuperFoods,
1165,Bag,Rindfleisch Suppe,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1165/front_de.6.400.jpg,GOMAN AS,
1166,,Salted caramel kruidnoot,,,unknown,,,
1168,,Organic Moringa Leaf Powder,,,,,Terrasoul SuperFoods,
1170,,Organic Acerola Powder,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1170/front_en.24.400.jpg,"Iwuschka, Lackmann, Terrasoul SuperFoods",
1171,"Jar,Polvere-solubile",Formula 1 healthy meal,,,d,https://images.openfoodfacts.org/images/products/000/000/000/1171/front_en.33.400.jpg,Herbalife,"Boissons,Produits laitiers,Conserves,Plats préparés,Boissons lactées,Laits aromatisés,Compléments alimentaires,Milkshakes"
1172,,Espresso Fudge Cookie Bites,,,,https://images.openfoodfacts.org/images/products/000/000/000/1172/front_en.3.400.jpg,BistroMD,
1173,,Coop Berlinerbolle med Bringebær 63g,,,,https://images.openfoodfacts.org/images/products/000/000/000/1173/front_en.6.400.jpg,GOMAN AS,
1174,,Coop Berlinerbolle med Krem 63g,,,,https://images.openfoodfacts.org/images/products/000/000/000/1174/front_en.3.400.jpg,GOMAN AS,
1175,,,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1175/front_es.6.400.jpg,,
117584340,,Il pane del forno,,,unknown,https://images.openfoodfacts.org/images/products/000/011/758/4340/front_it.3.400.jpg,,
1176,,Red Palm Oil,,,,,Wildly Organic,
1177,,,,,,,,
1179,,,,,,https://images.openfoodfacts.org/images/products/000/000/000/1179/front_de.3.400.jpg,,Condiments
1180,,knoblauch bauch,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1180/front_de.8.400.jpg,lackmann,
118120238,,Traditional,,,,https://images.openfoodfacts.org/images/products/000/011/812/0238/front_en.3.400.jpg,,
1182,,Pain riz chateigne,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1182/front_fr.4.400.jpg,,
1183,,,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1183/front_it.5.400.jpg,,Farine
1185,,L-Ornithin Pulver,,,unknown,,Bonemis,
1186,de:packung-en,Maggi Nudeln in Rahmsauce,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1186/front_de.4.400.jpg,Maggi,
1189,Fresh,Pain de mie moulé ferme nature,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1189/front_fr.3.400.jpg,Carrefour,
1193,,,,,,,,
1194,,Herbalife nutrition tea,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1194/front_es.4.400.jpg,,
1195,Jar,Boisson instantanée à base de thé,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1195/front_fr.3.400.jpg,"Herbalife, Krabbensalat, Salate im Kübel","Boissons et préparations de boissons, Boissons, Préparations pour boissons, Compléments alimentaires, Boissons instantanées, Compléments pour le Bodybuilding, en:Groceries, en:Supplement"
1196,"Bottle,Jar",aloe,,,d,https://images.openfoodfacts.org/images/products/000/000/000/1196/front_en.20.400.jpg,Herbalife,"Plant-based foods and beverages, Beverages, Canned foods, Plant-based beverages, Fruit-based beverages, Aloe Vera drinks, en:dietary-supplements"
1197,,Piadina Kamut,,,,,Alimenta,
1199,,Solène céréales poulet,,,unknown,https://images.openfoodfacts.org/images/products/000/000/000/1199/front_fr.13.400.jpg,CROUS,
