ticker,name,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik
aeri,Aerie Pharmaceuticals Inc,https://static.finnhub.io/logo/c3eb1f5c-80ce-11ea-bebe-00000000092a.png,https://aeriepharma.com/,A,High,B,Medium,BB,Medium,58,21,59,51,04/16/2022,BBB,High,1337553
aey,ADDvantage Technologies Group Inc,https://static.finnhub.io/logo/d2abb4b87e579c2bb32357938df36ceafc9b5d1e999aee923ea9938b2acee94c.png,http://www.addvantagetechnologies.com/,B,Medium,B,Medium,BB,Medium,7,15,56,18,04/16/2022,BB,Medium,874292
afaq,AF Acquisition Corp,Logo Not Provided,Url Not Provided,B,Medium,B,Medium,B,Medium,0,8,31,0,06/21/2022,B,Medium,1841661
afmd,Affimed NV,https://static.finnhub.io/logo/29cc761a-80d0-11ea-ab42-00000000092a.png,https://www.affimed.com/,BB,Medium,BB,Medium,BB,Medium,32,28,59,41,04/16/2022,BBB,High,1608390
afcg,AFC Gamma Inc,https://static.finnhub.io/logo/f0ef42fade24d578bbdf91be70ad822290a91ced952da4c22093df2e1c015b1b.png,https://afcgamma.com/,B,Medium,B,Medium,B,Medium,11,9,38,9,06/10/2022,B,Medium,1822523
afbi,Affinity Bancshares Inc,Logo Not Provided,https://communityfirstbancshares.q4ir.com/,B,Medium,B,Medium,B,Medium,0,9,31,1,06/10/2022,B,Medium,1823406
afrm,Affirm Holdings Inc,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AFRM.png,https://www.affirm.com/,B,Medium,BB,Medium,BB,Medium,5,35,65,32,06/10/2022,BB,Medium,1820953
afib,Acutus Medical Inc,https://static.finnhub.io/logo/352bd59a63f14910c54166ecc5aa8f67ac11b7d8828185bc023d5915d7cf0457.png,http://www.acutusmedical.com/,B,Medium,B,Medium,B,Medium,1,10,40,5,06/10/2022,B,Medium,1522860
agen,Agenus Inc,https://static.finnhub.io/logo/9ccb30fe-80df-11ea-993b-00000000092a.png,https://agenusbio.com/,B,Medium,B,Medium,BB,Medium,17,17,56,25,04/16/2022,BB,Medium,1098972
afya,Afya Ltd,https://static.finnhub.io/logo/c57ab10fd72c2aa8b1db15524838647943d52bf5f5ad9be3c1f19d9c5c03a762.png,https://www.afya.com.br/,B,Medium,B,Medium,B,Medium,17,8,32,10,06/10/2022,B,Medium,1771007
agfs,AgroFresh Solutions Inc,https://static.finnhub.io/logo/b57e8700-80cf-11ea-b35b-00000000092a.png,https://www.agrofresh.com/,A,High,BB,Medium,B,Medium,58,28,50,51,04/16/2022,BBB,High,1592016
agfy,Agrify Corp,https://static.finnhub.io/logo/aa5216aab348419b7fcfc5d9d79e4b271d486e16e75a4938dee5bd2343263eb9.png,https://www.agrify.com/,A,High,BB,Medium,BB,Medium,66,40,57,65,06/10/2022,A,High,1800637
agil,AgileThought Inc,https://static.finnhub.io/logo/becb547f102d410d67137477f782925246bd6ca61915f634a3fa91063ff51d0c.png,https://agilethought.com/,BB,Medium,B,Medium,BB,Medium,27,27,57,37,06/11/2022,BBB,High,1790625
agmh,AGM Group Holdings Inc,https://static.finnhub.io/logo/7f908b9c-80db-11ea-96c9-00000000092a.png,http://www.agmprime.com/,B,Medium,B,Medium,B,Medium,1,9,34,2,06/10/2022,B,Medium,1705402
agio,Agios Pharmaceuticals Inc,https://static.finnhub.io/logo/4298fc14-80ce-11ea-ace7-00000000092a.png,https://www.agios.com/,A,High,BB,Medium,BB,Medium,62,28,62,59,04/16/2022,BBB,High,1439222
agle,Aeglea Bio Therapeutics Inc,https://static.finnhub.io/logo/523351d2-80d2-11ea-b332-00000000092a.png,https://www.aeglea.com/,B,Medium,B,Medium,B,Medium,1,12,31,3,09/16/2022,B,Medium,1636282
agnc,AGNC Investment Corp,https://static.finnhub.io/logo/2f35e91b0085245b224c9799c269249eec328a9687dcd6c3345b79a268802cb0.png,https://agnc.com/,BB,Medium,B,Medium,BB,Medium,35,16,57,35,04/16/2022,BBB,High,1423689
agri,AgriFORCE Growing Systems Ltd,https://static.finnhub.io/logo/13b2627f534d45aba679196877fcbf2fe8af01324ddfa2aecc3dbba8c1132239.png,https://agriforcegs.com/,A,High,B,Medium,BB,Medium,60,17,57,49,06/11/2022,BBB,High,1826397
agrx,Agile Therapeutics Inc,https://static.finnhub.io/logo/ce934c88-80cf-11ea-8207-00000000092a.png,https://www.agiletherapeutics.com/,B,Medium,B,Medium,B,Medium,8,8,46,11,04/16/2022,B,Medium,1261249
agys,Agilysys Inc,https://static.finnhub.io/logo/9f139b98-80df-11ea-bde1-00000000092a.png,https://www.agilysys.com/,A,High,BB,Medium,BB,Medium,58,28,56,54,04/16/2022,BBB,High,78749
agtc,Applied Genetic Technologies Corp,https://static.finnhub.io/logo/56431592-80cf-11ea-a718-00000000092a.png,https://www.agtc.com/,B,Medium,BB,Medium,BB,Medium,7,32,57,28,04/16/2022,BB,Medium,1273636
ahco,Adapthealth Corp,https://static.finnhub.io/logo/0d255d71bb558e608b96ab76dc546dbaef93419ed054817b132789da3b0c0350.png,https://adapthealth.com/investor-relations/,B,Medium,B,Medium,B,Medium,2,10,40,6,06/10/2022,B,Medium,1725255
ahpi,Allied Healthcare Products Inc,https://static.finnhub.io/logo/a505c155a53bb84a0c27e5a919e287f856f4a255e509bc48f499f9f73b588069.png,http://www.alliedhpi.com/,B,Medium,B,Medium,BB,Medium,2,13,62,17,04/16/2022,BB,Medium,874710
aib,AIB Acquisition Corp,Logo Not Provided,Url Not Provided,B,Medium,B,Medium,BB,Medium,3,13,56,15,05/24/2022,B,Medium,1882963
adtn,ADTRAN Inc,https://static.finnhub.io/logo/544d99910973b1d04b345cd611449e802ade0468588c1066ad0a5be905a80a84.png,https://www.adtran.com/,A,High,BB,Medium,BB,Medium,60,29,56,55,04/16/2022,BBB,High,926282
adn,Advent Technologies Holdings Inc,https://static.finnhub.io/logo/adca3c2e-80da-11ea-9ab0-00000000092a.png,http://amciacquisition.com/,B,Medium,B,Medium,B,Medium,10,8,36,8,04/20/2022,B,Medium,1744494
aiki,Aikido Pharma Inc,https://static.finnhub.io/logo/b16fc664-80e0-11ea-9b8a-00000000092a.png,https://aikidopharma.com/,B,Medium,B,Medium,B,Medium,0,15,32,4,06/10/2022,B,Medium,12239
akic,Sports Ventures Acquisition Corp,Logo Not Provided,Url Not Provided,B,Medium,B,Medium,B,Medium,0,9,39,4,06/11/2022,B,Medium,1826574
aip,Arteris Inc,https://static.finnhub.io/logo/6429ccca605b3faa9498cbbc2727b1c4fb8e3c24e577855ff8bf45eeff7d21b2.png,https://www.arteris.com/,A,High,B,Medium,BB,Medium,58,25,56,52,06/07/2022,BBB,High,1667011
akro,Akero Therapeutics Inc,https://static.finnhub.io/logo/5ac79f50-80da-11ea-8fee-00000000092a.png,https://www.akerotx.com/,B,Medium,B,Medium,BB,Medium,10,17,57,21,06/10/2022,BB,Medium,1744659
airt,Air T Inc,https://static.finnhub.io/logo/9e54807a-80df-11ea-9dbf-00000000092a.png,http://www.airt.net/,B,Medium,B,Medium,BB,Medium,7,10,62,18,04/16/2022,BB,Medium,353184
aimc,Altra Industrial Motion Corp,https://static.finnhub.io/logo/9da7f902-80df-11ea-b5a0-00000000092a.png,https://www.altramotion.com/,A,High,BB,Medium,BB,Medium,63,31,57,58,04/16/2022,BBB,High,1374535
akba,Akebia Therapeutics Inc,https://static.finnhub.io/logo/7d6670f8-80cf-11ea-aab1-00000000092a.png,https://akebia.com/,B,Medium,B,Medium,B,Medium,0,11,35,4,04/16/2022,B,Medium,1517022
airg,Airgain Inc,https://static.finnhub.io/logo/ff72eaca-80db-11ea-a64a-00000000092a.png,http://www.airgain.com/,A,High,BB,Medium,BB,Medium,58,28,64,57,04/16/2022,BBB,High,1272842
airs,Airsculpt Technologies Inc,https://static.finnhub.io/logo/e5484b255e157a1ac5f11571a56a7a14e23cb71d6cf02440a54c447cae42e82a.png,https://elitebodysculpture.com/,B,Medium,B,Medium,B,Medium,2,8,32,2,06/11/2022,B,Medium,1870940
akam,Akamai Technologies Inc,https://static.finnhub.io/logo/0982f80bff901e6c53bbeda92444bf52ccfe7fb4b559716e0e2bc14037d6ca3f.png,https://www.akamai.com/,A,High,BB,Medium,BB,Medium,61,36,57,60,04/16/2022,BBB,High,1086222
aku,Akumin Inc,https://static.finnhub.io/logo/60c47c38-80db-11ea-aa7b-00000000092a.png,https://www.akumin.com,BBB,High,BB,Medium,BB,Medium,49,37,56,54,04/21/2022,BBB,High,1776197
akus,Akouos Inc,https://static.finnhub.io/logo/a33692c919e7f03a35025ca5873e5f14ee8f53cd5bc190cd22d677f58ceaf538.png,https://akouos.com/,B,Medium,B,Medium,B,Medium,1,12,55,13,06/10/2022,B,Medium,1722271
akts,Akoustis Technologies Inc,https://static.finnhub.io/logo/c87e2de6-80db-11ea-b469-00000000092a.png,https://ir.akoustis.com/,B,Medium,BB,Medium,BBB,High,4,28,88,38,04/16/2022,BBB,High,1584754
aktx,Akari Therapeutics PLC,https://static.finnhub.io/logo/6566bacc-80cf-11ea-a49e-00000000092a.png,http://akaritx.com/,B,Medium,B,Medium,BB,Medium,5,11,57,16,04/16/2022,B,Medium,1541157
albo,Albireo Pharma Inc,https://static.finnhub.io/logo/b888b486-80df-11ea-bc00-00000000092a.png,https://albireopharma.com/,A,High,BB,Medium,BB,Medium,58,28,59,54,06/10/2022,BBB,High,1322505
akya,Akoya Biosciences Inc,https://static.finnhub.io/logo/ebaa6db90afb3fd57e3402e38731e2ac663ddb7015f44ae0c020a525a4e80832.png,https://www.akoyabio.com/,A,High,BB,Medium,B,Medium,60,28,35,46,06/10/2022,BBB,High,1711933
alco,Alico Inc,https://static.finnhub.io/logo/95b11e40-80df-11ea-8e03-00000000092a.png,https://www.alicoinc.com/,A,High,BB,Medium,BB,Medium,58,28,56,53,04/16/2022,BBB,High,3545
aldx,Aldeyra Therapeutics Inc,https://static.finnhub.io/logo/4b4f9dba-80cf-11ea-87c6-00000000092a.png,https://www.aldeyra.com/,B,Medium,B,Medium,B,Medium,6,20,40,14,04/16/2022,B,Medium,1341235
